0	ub	expr 1 << 64
1	ub	expr 1 << 70
2	ub	expr 1 >> 64
3	ub	expr 1 << -1
4	ub	expr 5 >> -3
5	ub	expr -9223372036854775808 * -1
6	ub	expr -(-9223372036854775807 - 1)
7	ub	expr 0 - -9223372036854775807 - 1 - 1
8	ub	expr 9223372036854775807 + 1
9	ub	expr -9223372036854775807 - 2
10	ub	expr 9223372036854775807 * 2
11	ub	expr 4611686018427387904 * 4
12	order	expr ((1+2)*(3+4))
13	gen	set x -47; set y 44; expr $x * $y + 4
14	gen	expr -791
15	gen	set l [list 11 75 54 4]; count $l
16	gen	expr 34
17	gen	set x 21; set y -25; expr $x * $y + 8
18	gen	expr (-135 < -560 < -222)
19	gen	expr -225 * 130 ^ 764 > 182 >> (-408 * -222 | -72)
20	gen	set x -4; set y -30; expr $x * $y + 5
21	gen	expr (--499 << (895 & 402)) < -935 < (870 < -565)
22	gen	set l [list 82 58 18]; count $l
23	gen	expr 149
24	gen	set x 45; set y 24; expr $x * $y + 6
25	gen	set s "cbbx a"; length $s
26	gen	set l [list 14 19 80 20 87 54]; count $l
27	gen	set x -1; set y -2; expr $x * $y + 9
28	gen	func f {a b} {return [expr $a - $b]}; f 67 32
29	gen	func f {a b} {return [expr $a - $b]}; f 1 87
30	gen	set l [list 68 96 34 98 82]; count $l
31	gen	expr -677
32	gen	expr 25 << (39 >> -687 > -594)
33	gen	func f {a b} {return [expr $a - $b]}; f 0 76
34	gen	expr 902
35	gen	expr -507 * -5
36	gen	set s "xzbby xbcxzx"; length $s
37	gen	expr 104
38	gen	set l [list 25 91 39 51 85]; count $l
39	gen	set x 6; set y 16; expr $x * $y + 7
40	gen	expr -308
41	gen	expr -449
42	gen	set x -21; set y -42; expr $x * $y + 0
43	gen	set s "x"; length $s
44	gen	expr (915 || -32)
45	gen	set s "aay"; length $s
46	gen	expr ((-176 < 639) / -611 && -625)
47	gen	expr 890
48	gen	expr 335 + (-6 || -563) == (-996 == -457)
49	gen	func f {a b} {return [expr $a - $b]}; f 58 36
50	gen	expr -393 >> -110 - (-746 << 40)
51	gen	expr 218
52	gen	expr (-(-833 != 346) < ((-190 % 375) ^ 916 * -981))
53	gen	expr -564 | -286
54	gen	set s "ccb"; length $s
55	gen	expr (135 ^ 908 / (-764 / 520) % 238)
56	gen	expr -859 - -133
57	gen	set s ""; length $s
58	gen	expr 518 && (-846 % 192 % -120)
59	gen	expr (-489 / -276) != 895 & 770 << (508 < 602) != 660 & -454
60	gen	expr (-37 & 880)
61	gen	expr -952 >> (583 | -391)
62	gen	func f {a b} {return [expr $a - $b]}; f 68 42
63	gen	func f {a b} {return [expr $a - $b]}; f 14 33
64	gen	expr (-111 > (--212 >> 451))
65	gen	expr (-117 * 943) < -745 ^ 38 ^ (--608 != (532 << 260))
66	gen	set x 1; set y 20; expr $x * $y + 0
67	gen	expr 609
68	gen	set x 33; set y -9; expr $x * $y + 7
69	gen	expr --419 < -809 & (-593 % -950)
70	gen	expr (-471 == (343 + 828)) / (-49 - 141 & (-727 && 367))
71	gen	set x 21; set y 26; expr $x * $y + 5
72	gen	func f {a b} {return [expr $a - $b]}; f 56 78
73	gen	set s " zx byz "; length $s
74	gen	expr 592 || (-415 & -346)
75	gen	set s "b"; length $s
76	gen	expr (-151 != (705 != 937 + 754))
77	gen	set s "  accz zz"; length $s
78	gen	expr -(-108 || -312)
79	gen	set l [list 51 92 21 59 16 79]; count $l
80	gen	set x 0; set y 25; expr $x * $y + 9
81	gen	set l [list ]; count $l
82	gen	set x -33; set y 9; expr $x * $y + 2
83	gen	expr (703 != -484 * -894 > -541 * -592 + 272 % -31)
84	gen	set l [list 27 59 89 32]; count $l
85	gen	set l [list 77]; count $l
86	gen	set x 45; set y 41; expr $x * $y + 1
87	gen	set l [list 39]; count $l
88	gen	expr -362
89	gen	set x -2; set y 0; expr $x * $y + 3
90	gen	expr 582 ^ 159 - (-242 * 36)
91	gen	set x -49; set y 3; expr $x * $y + 7
92	gen	expr 977 | 261 || 213 | -340 & ((-49 == -312) + (-2 >> -274))
93	gen	set l [list 35 76]; count $l
94	gen	set l [list 71 1]; count $l
95	gen	set x -26; set y -40; expr $x * $y + 3
96	gen	set l [list 71 97 30]; count $l
97	gen	set l [list 91 62 57 2 11]; count $l
98	gen	expr (((527 < -280) && -486) & -606)
99	gen	expr ((207 ^ -795) >> -261) << -907 - -742 || -790
100	gen	set s "c   cbacz"; length $s
101	gen	expr (289 - 661)
102	gen	set x -12; set y -40; expr $x * $y + 3
